Image,CSF,WM,GM
1003.nii_segmented.nii.gz,0.028735133258095322,0.5683254122741465,0.5638389589263928
1004.nii_segmented.nii.gz,0.10729495388951868,0.5705625531353951,0.5604610297516674
1005.nii_segmented.nii.gz,0.1761230191104848,0.5356310185693183,0.5510412320869378
1018.nii_segmented.nii.gz,0.16160264483627204,0.5697661169479756,0.5865742088333585
1024.nii_segmented.nii.gz,0.10994518402505873,0.5661981767883998,0.5831853008072911
1025.nii_segmented.nii.gz,0.15085890562611173,0.536420379198207,0.5732804434210097
1038.nii_segmented.nii.gz,0.1491766467065868,0.5667927130247296,0.5782990112259312
1101.nii_segmented.nii.gz,0.33931880349422044,0.5786392138708862,0.5670513022327123
1104.nii_segmented.nii.gz,0.23464096494194567,0.5826017730550804,0.56456450933997
1107.nii_segmented.nii.gz,0.009310791417270469,0.5397485727833825,0.5322830210162341
1110.nii_segmented.nii.gz,0.038356164383561646,0.5642295528305891,0.5525316607790834
1113.nii_segmented.nii.gz,0.15546295568309879,0.5685031386825722,0.5276395753127207
1116.nii_segmented.nii.gz,0.13985509734574048,0.5479474274612508,0.5509834550001765
1119.nii_segmented.nii.gz,0.11452101177922208,0.5387363866468097,0.5179703222751405
1122.nii_segmented.nii.gz,0.0216030989272944,0.525092513045606,0.5147566122049299
1125.nii_segmented.nii.gz,0.009820635339880424,0.464139916076711,0.5384381610442159
1128.nii_segmented.nii.gz,0.007370504333583566,0.486653891668188,0.5105549022901619
